Ticker,Simple MA,MA,MACD,RSI,7-Day Profit
F,1.0,0.0,1.0,1.0,True
GE,1.0,0.0,1.0,1.0,True
DIS,1.0,0.0,1.0,1.0,True
AAL,1.0,0.0,1.0,1.0,True
DAL,1.0,0.0,1.0,1.0,True
ACB,1.0,0.0,1.0,1.0,False
GPRO,1.0,1.0,1.0,1.0,True
CCL,1.0,0.0,1.0,1.0,True
MSFT,1.0,1.0,-1.0,1.0,True
AAPL,1.0,1.0,-1.0,1.0,True
FIT,-1.0,1.0,-1.0,0.0,False
NCLH,1.0,0.0,1.0,1.0,True
BAC,1.0,0.0,1.0,1.0,True
PLUG,1.0,1.0,-1.0,1.0,True
SNAP,1.0,1.0,-1.0,1.0,True
BA,1.0,0.0,1.0,1.0,True
UAL,1.0,0.0,1.0,1.0,True
INO,1.0,1.0,-1.0,1.0,False
CGC,1.0,0.0,1.0,1.0,False
UBER,1.0,1.0,1.0,1.0,True
TSLA,1.0,1.0,-1.0,1.0,True
RCL,1.0,0.0,1.0,1.0,True
CRON,1.0,0.0,1.0,1.0,True
AMD,1.0,1.0,-1.0,1.0,False
TWTR,1.0,0.0,1.0,1.0,True
FB,1.0,1.0,-1.0,1.0,True
GRPN,1.0,0.0,1.0,1.0,True
MRNA,1.0,1.0,-1.0,1.0,False
BABA,1.0,0.0,-1.0,1.0,True
SBUX,1.0,0.0,1.0,1.0,True
MRO,-1.0,0.0,-1.0,1.0,True
ZNGA,1.0,1.0,1.0,1.0,False
T,1.0,0.0,1.0,1.0,True
AMZN,1.0,1.0,-1.0,1.0,True
KO,1.0,0.0,1.0,1.0,True
APHA,1.0,0.0,1.0,1.0,True
USO,1.0,0.0,1.0,1.0,True
SAVE,1.0,0.0,1.0,1.0,True
LUV,1.0,0.0,1.0,1.0,True
XOM,1.0,0.0,1.0,1.0,True
JBLU,1.0,0.0,1.0,1.0,True
MFA,1.0,0.0,1.0,1.0,True
MGM,1.0,0.0,1.0,1.0,True
GM,1.0,0.0,1.0,1.0,True
NIO,1.0,1.0,1.0,1.0,True
UCO,1.0,0.0,1.0,1.0,True
AMC,1.0,0.0,1.0,1.0,True
NFLX,-1.0,1.0,-1.0,0.0,False
PENN,1.0,1.0,1.0,1.0,True
SPCE,1.0,0.0,1.0,1.0,False
NRZ,1.0,0.0,1.0,1.0,True
TLRY,1.0,0.0,1.0,1.0,False
NVDA,1.0,1.0,-1.0,1.0,True
VOO,1.0,0.0,1.0,1.0,True
VSLR,1.0,0.0,1.0,1.0,True
NOK,1.0,1.0,1.0,1.0,True
GILD,1.0,1.0,-1.0,1.0,False
GUSH,-1.0,0.0,1.0,1.0,True
CPRX,-1.0,1.0,-1.0,0.0,True
LYFT,1.0,0.0,1.0,1.0,True
HAL,1.0,0.0,1.0,1.0,True
SPY,1.0,0.0,1.0,1.0,True
V,1.0,1.0,1.0,1.0,True
NKE,1.0,1.0,1.0,1.0,True
SRNE,1.0,1.0,1.0,1.0,False
SIRI,1.0,0.0,1.0,1.0,True
SQ,1.0,1.0,-1.0,1.0,True
WORK,1.0,1.0,1.0,1.0,False
PFE,1.0,1.0,-1.0,1.0,False
KOS,1.0,0.0,1.0,1.0,True
OXY,-1.0,0.0,-1.0,0.0,True
BYND,1.0,1.0,-1.0,1.0,True
JPM,1.0,0.0,1.0,1.0,True
IVR,1.0,0.0,1.0,1.0,True
ET,1.0,0.0,1.0,1.0,True
WFC,1.0,0.0,1.0,1.0,True
CRBP,1.0,1.0,1.0,1.0,False
PLAY,1.0,0.0,1.0,1.0,True
ERI,1.0,0.0,1.0,1.0,True
NYMT,1.0,0.0,1.0,1.0,True
SPHD,1.0,0.0,1.0,1.0,True
VKTX,1.0,1.0,-1.0,1.0,True
BP,1.0,0.0,1.0,1.0,True
TXMD,-1.0,0.0,-1.0,0.0,True
NTDOY,-1.0,1.0,-1.0,1.0,True
WMT,1.0,1.0,-1.0,1.0,False
GOOGL,1.0,1.0,1.0,1.0,True
ZM,1.0,1.0,-1.0,1.0,True
FCEL,1.0,1.0,1.0,1.0,True
PTON,-1.0,1.0,-1.0,1.0,True
DKNG,1.0,1.0,1.0,1.0,False
ATVI,1.0,1.0,-1.0,1.0,False
SNE,1.0,0.0,-1.0,1.0,True
CSCO,1.0,1.0,1.0,1.0,True
INTC,1.0,1.0,1.0,1.0,True
AUY,1.0,1.0,-1.0,1.0,False
VTI,1.0,0.0,1.0,1.0,True
GLUU,1.0,1.0,-1.0,1.0,False
